Borough,2015 white,2015 asian,2015 black,2015 mixed/other,2016 white,2016 asian,2016 black,2016 mixed/other,2017 white,2017 asian,2017 black,2017 mixed/other,avg white,avg asian,avg black,avg mixed/other
Barking and Dagenham,95000,41000,52000,14000,106000,41000,47000,13000,104000,48000,41000,17000,101667,43333,46667,14667
Barnet,247000,54000,29000,43000,233000,68000,22000,55000,264000,57000,14000,49000,248000,59667,21667,49000
Bexley,195000,15000,23000,7000,192000,18000,28000,5000,194000,16000,26000,8000,193667,16333,25667,6667
Brent,108000,108000,55000,50000,117000,106000,53000,49000,121000,101000,61000,44000,115333,105000,56333,47667
Bromley,259000,16000,31000,17000,272000,17000,23000,13000,255000,26000,18000,27000,262000,19667,24000,19000
Camden,158000,27000,25000,30000,152000,28000,28000,37000,157000,32000,22000,40000,155667,29000,25000,35667
Croydon,221000,61000,66000,29000,206000,75000,65000,35000,213000,77000,69000,22000,213333,71000,66667,28667
Ealing,160000,102000,37000,41000,151000,105000,31000,53000,156000,113000,27000,41000,155667,106667,31667,45000
Enfield,192000,31000,66000,33000,195000,36000,63000,35000,213000,40000,46000,31000,200000,35667,58333,33000
Greenwich,170000,30000,51000,20000,164000,43000,54000,15000,178000,25000,59000,18000,170667,32667,54667,17667
Hackney,145000,19000,55000,48000,153000,23000,49000,48000,150000,28000,48000,48000,149333,23333,50667,48000
Hammersmith and Fulham,119000,15000,23000,23000,121000,14000,29000,16000,122000,24000,22000,13000,120667,17667,24667,17333
Haringey,164000,21000,46000,36000,168000,17000,40000,46000,180000,19000,39000,32000,170667,19000,41667,38000
Harrow,103000,106000,13000,23000,110000,109000,14000,14000,110000,103000,10000,24000,107667,106000,12333,20333
Havering,217000,13000,11000,7000,219000,12000,13000,8000,219000,13000,9000,14000,218333,12667,11000,9667
Hillingdon,159000,74000,36000,24000,172000,74000,23000,28000,168000,91000,16000,25000,166333,79667,25000,25667
Hounslow,128000,92000,20000,23000,119000,103000,17000,26000,119000,92000,23000,33000,122000,95667,20000,27333
Islington,151000,22000,21000,30000,143000,17000,32000,37000,150000,17000,26000,39000,148000,18667,26333,35333
Kensington and Chelsea,104000,12000,15000,25000,102000,13000,16000,24000,97000,12000,18000,26000,101000,12333,16333,25000
Kingston upon Thames,130000,20000,2000,16000,126000,23000,5000,18000,124000,26000,5000,17000,126667,23000,4000,17000
Lambeth,199000,13000,71000,33000,203000,14000,77000,26000,217000,12000,65000,27000,206333,13000,71000,28667
Lewisham,161000,31000,77000,24000,186000,22000,65000,24000,189000,25000,63000,23000,178667,26000,68333,23667
Merton,134000,31000,24000,15000,129000,38000,21000,18000,132000,38000,16000,19000,131667,35667,20333,17333
Newham,107000,128000,60000,40000,114000,147000,49000,32000,110000,144000,57000,35000,110333,139667,55333,35667
Redbridge,123000,140000,19000,15000,125000,133000,24000,18000,113000,145000,23000,19000,120333,139333,22000,17333
Richmond upon Thames,166000,11000,3000,12000,169000,8000,3000,12000,162000,12000,4000,15000,165667,10333,3333,13000
Southwark,165000,22000,81000,37000,170000,29000,71000,37000,179000,28000,70000,33000,171333,26333,74000,35667
Sutton,152000,27000,10000,10000,145000,25000,13000,18000,139000,35000,12000,16000,145333,29000,11667,14667
Tower Hamlets,109000,132000,28000,22000,124000,130000,28000,18000,125000,148000,14000,19000,119333,136667,23333,19667
Waltham Forest,140000,61000,46000,20000,156000,57000,37000,23000,153000,41000,44000,36000,149667,53000,42333,26333
Wandsworth,233000,38000,24000,22000,227000,30000,25000,34000,227000,37000,19000,33000,229000,35000,22667,29667
Westminster,132000,27000,26000,48000,136000,31000,18000,54000,131000,34000,19000,50000,133000,30667,21000,50667