"Creative, artistic, theatrical or musical activty or craft","event, performance or festival ",Museum or gallery,Dance,Public library service,No qualifications ,Deprivation,White,Asian,Black,Mixed and other 
25.15,35.14,32.72,21.57,33.82,14.13333333,17.4,101667,43333,46667,14667
34.79,54.65,56.61,23.87,37.24,5.066666667,9,248000,59667,21667,49000
28.14,48.72,38.19,21.1,40.01,7.333333333,8.1,193667,16333,25667,6667
27.57,45.67,43.94,20.67,37.6,7.033333333,13.4,115333,105000,56333,47667
37.47,60.44,56.23,24.21,41.01,3.766666667,7.6,262000,19667,24000,19000
44.95,63.18,73.07,28.74,44.83,7.433333333,12.5,155667,29000,25000,35667
36.04,49.89,48.21,23.5,40.95,5.633333333,11.9,213333,71000,66667,28667
34.29,54.79,51.9,27.88,37.59,6.933333333,11.8,155667,106667,31667,45000
29.77,50.3,45.73,25.19,38.59,6.5,13.6,200000,35667,58333,33000
36.1,54.94,56.72,26.65,42.67,7.7,12.9,170667,32667,54667,17667
45.22,62.78,63.77,32.6,40.92,9.1,17.7,149333,23333,50667,48000
41.09,70.37,69.84,28.71,32.24,4.8,12.2,120667,17667,24667,17333
40.13,61.55,65.69,26.52,40.86,8.966666667,15.6,170667,19000,41667,38000
33.43,50.34,46,20.72,36.62,3.366666667,7.2,107667,106000,12333,20333
22.81,48.8,39.8,21.08,33.43,9,9,218333,12667,11000,9667
24.01,45.09,40.57,24.53,47.99,7.6,9.1,166333,79667,25000,25667
34.4,45.49,43.61,24.91,36.03,6.6,11.3,122000,95667,20000,27333
45.81,68.93,70.63,30.17,44.48,6.933333333,16.4,148000,18667,26333,35333
39.6,66.55,78.53,25.99,41.46,4.233333333,11.7,101000,12333,16333,25000
37.81,61.55,56.85,21.87,36.27,4.1,5.6,126667,23000,4000,17000
44.7,65.88,68.2,33.56,38.67,5.6,14.6,206333,13000,71000,28667
41.3,60.58,67.76,30.33,45.24,4.6,14.4,178667,26000,68333,23667
35.24,60.42,59.32,26.58,38.92,4.6,7.5,131667,35667,20333,17333
31.24,42.72,37.48,21.5,35.96,11.8,16.6,110333,139667,55333,35667
30.88,44.34,46.47,20.19,42.91,8.966666667,10.2,120333,139333,22000,17333
46.43,73.35,70.86,25.04,45.84,2.166666667,5.1,165667,10333,3333,13000
45.02,63.21,66.15,33.05,43.24,7.033333333,14.8,171333,26333,74000,35667
33.5,52.31,50.91,23.31,39.06,5.633333333,7.3,145333,29000,11667,14667
38.85,56.41,61.74,26.56,39.2,12.13333333,17.9,119333,136667,23333,19667
37.97,52.41,52.06,25.77,41.97,9.966666667,15.2,149667,53000,42333,26333
40.86,67.66,71.91,29.11,40.39,3.366666667,9.2,229000,35000,22667,29667
37.99,60.95,70.54,27.6,41.96,4.933333333,13.9,133000,30667,21000,50667